subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79036,0,0,2586.100000023842,"doctor,dentist,psychiatrist",XX,en-q4,1,assess
79036,0,0,1547.2000000476837,"New York,Boston,Chicago",XX,en-q1,18,assess
79036,1,1,1456.7000000476837,"pebble,cat,frog",XX,en-q3,24,assess
79036,1,1,5705.299999952316,"3,4,5",XX,en-q2,26,assess
79036,A2,1,17803,"[u'MB', u'A2', u'BK', u'MO']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'0,0,0', u'222.5,130.5,64.75']",Piano,2,target
79036,DY,1,17545,"[u'SY', u'DY', u'MB', u'A1']","[u'250,250,0', u'137.5,137.5,0', u'114.7058823,130.3921568,219.6078433', u'100,100,100']",Electronic,3,target
79036,DY,0,17333,"[u'DY', u'LO', u'A2', u'DB']","[u'137.5,137.5,0', u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823']",Jazz,4,target
79036,DC,2,16659.800000071526,"[u'MB', u'MO', u'DC', u'A2']","[u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75', u'3.92156875,130.3921568,150', u'157.75,157.75,157.75']",Indie,5,target
79036,SP,0,17372.5,"[u'SP', u'DY', u'A1', u'LH']","[u'200,0,250', u'137.5,137.5,0', u'100,100,100', u'197,250,127.5']",Bach,6,target
79036,SO,3,16202.800000071526,"[u'SH', u'A1', u'MY', u'SO']","[u'141.25,250,0', u'100,100,100', u'214.75,192.25,47', u'250,100,0']",Ska,7,target
79036,DO,3,16440.300000071526,"[u'A2', u'SH', u'MB', u'DO']","[u'157.75,157.75,157.75', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'137.5,80.5,0']",Mozart,8,target
79036,SH,3,16664.800000071526,"[u'DH', u'MY', u'MB', u'SH']","[u'99,137.5,0', u'214.75,192.25,47', u'114.7058823,130.3921568,219.6078433', u'141.25,250,0']",Progressive House,9,target
79036,LR,2,16450.299999952316,"[u'LO', u'DO', u'LR', u'SB']","[u'250,171.5,114.75', u'137.5,80.5,0', u'250,119.5,143.25', u'59.8039215,123.5294118,250']",Dubstep,10,target
79036,SH,3,16646.400000095367,"[u'LR', u'DH', u'MB', u'SH']","[u'250,119.5,143.25', u'99,137.5,0', u'114.7058823,130.3921568,219.6078433', u'141.25,250,0']",Salsa,11,target
79036,LH,3,16376,"[u'A2', u'SB', u'DY', u'LH']","[u'157.75,157.75,157.75', u'59.8039215,123.5294118,250', u'137.5,137.5,0', u'197,250,127.5']",Alternative,12,target
79036,DY,0,16718.399999976158,"[u'DY', u'DB', u'MY', u'A2']","[u'137.5,137.5,0', u'14.70588225,65.6862745,164.7058823', u'214.75,192.25,47', u'157.75,157.75,157.75']",Dixieland,13,target
79036,SO,0,16607.5,"[u'SO', u'A3', u'LR', u'SH']","[u'250,100,0', u'197,197,197', u'250,119.5,143.25', u'141.25,250,0']",Heavy Metal,14,target
79036,A2,2,16319.200000047684,"[u'DB', u'SH', u'A2', u'LO']","[u'14.70588225,65.6862745,164.7058823', u'141.25,250,0', u'157.75,157.75,157.75', u'250,171.5,114.75']",Stravinsky,15,target
79036,MB,3,16552.800000071526,"[u'MO', u'BK', u'A2', u'MB']","[u'222.5,130.5,64.75', u'0,0,0', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Smooth Jazz,16,target
79036,LG,0,17176.600000023842,"[u'LG', u'A2', u'SR', u'SH']","[u'106.862745,232.3529413,180.3921568', u'157.75,157.75,157.75', u'250,0,44', u'141.25,250,0']",Balkan Folk,17,target
79036,DY,3,17025.100000023842,"[u'SH', u'MY', u'A1', u'DY']","[u'141.25,250,0', u'214.75,192.25,47', u'100,100,100', u'137.5,137.5,0']",Big Band,19,target
79036,DP,1,17855.799999952316,"[u'MY', u'DP', u'SY', u'A3']","[u'214.75,192.25,47', u'113.7254903,0,145.0980393', u'250,250,0', u'197,197,197']",Hindustani Sitar,20,target
79036,LG,2,16452.100000023842,"[u'A2', u'DH', u'LG', u'SY']","[u'157.75,157.75,157.75', u'99,137.5,0', u'106.862745,232.3529413,180.3921568', u'250,250,0']",Folk,21,target
79036,A3,1,19351.199999928474,"[u'SR', u'A3', u'SH', u'DO']","[u'250,0,44', u'197,197,197', u'141.25,250,0', u'137.5,80.5,0']",upper_right,22,catch
79036,SR,3,17827.299999952316,"[u'LC', u'DR', u'MO', u'SR']","[u'104.9019608,215.6862745,232.3529413', u'174.5,0,5.5', u'222.5,130.5,64.75', u'250,0,44']",Trance,23,target
79036,LH,1,17767.699999928474,"[u'DG', u'LH', u'SP', u'MB']","[u'0,117.6470588,88.235294', u'197,250,127.5', u'200,0,250', u'114.7058823,130.3921568,219.6078433']",Classic Rock,25,target
79036,A2,0,18507.300000071526,"[u'A2', u'DB', u'SH', u'LO']","[u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0', u'250,171.5,114.75']",upper_left,27,catch
