subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
80031,0,0,5689.000000000015,"New York,Boston,Chicago",XX,en-q1,2,assess
80031,1,1,1792,"pebble,cat,frog",XX,en-q3,3,assess
80031,1,1,5595,"3,4,5",XX,en-q2,26,assess
80031,0,0,2866.9999999999854,"doctor,dentist,psychiatrist",XX,en-q4,27,assess
80031,MY,0,18151.000000000015,"[u'MY', u'DP', u'SY', u'A3']","[u'214.75,192.25,47', u'113.7254903,0,145.0980393', u'250,250,0', u'197,197,197']",Hindustani Sitar,1,target
80031,MB,1,21190.000000000015,"[u'A2', u'MB', u'MO', u'BK']","[u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75', u'0,0,0']",Piano,4,target
80031,SH,1,25010.00000000003,"[u'DH', u'SH', u'MB', u'LR']","[u'99,137.5,0', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'250,119.5,143.25']",Salsa,5,target
80031,A1,3,22502,"[u'DY', u'LH', u'SP', u'A1']","[u'137.5,137.5,0', u'197,250,127.5', u'200,0,250', u'100,100,100']",Bach,6,target
80031,A3,2,16294,"[u'SO', u'SH', u'A3', u'LR']","[u'250,100,0', u'141.25,250,0', u'197,197,197', u'250,119.5,143.25']",Heavy Metal,7,target
80031,DG,1,26593,"[u'SP', u'DG', u'MB', u'LH']","[u'200,0,250', u'0,117.6470588,88.235294', u'114.7058823,130.3921568,219.6078433', u'197,250,127.5']",Classic Rock,8,target
80031,DO,0,29036,"[u'DO', u'LO', u'SB', u'LR']","[u'137.5,80.5,0', u'250,171.5,114.75', u'59.8039215,123.5294118,250', u'250,119.5,143.25']",Dubstep,9,target
80031,SY,0,16525,"[u'SY', u'LG', u'A2', u'DH']","[u'250,250,0', u'106.862745,232.3529413,180.3921568', u'157.75,157.75,157.75', u'99,137.5,0']",Folk,10,target
80031,SH,2,45316,"[u'A2', u'DO', u'SH', u'MB']","[u'157.75,157.75,157.75', u'137.5,80.5,0', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433']",Mozart,11,target
80031,A2,0,16799,"[u'A2', u'DY', u'DB', u'LO']","[u'157.75,157.75,157.75', u'137.5,137.5,0', u'14.70588225,65.6862745,164.7058823', u'250,171.5,114.75']",Jazz,12,target
80031,MB,1,18264,"[u'BK', u'MB', u'MO', u'A2']","[u'0,0,0', u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75', u'157.75,157.75,157.75']",Smooth Jazz,13,target
80031,SB,1,21783,"[u'DY', u'SB', u'LH', u'A2']","[u'137.5,137.5,0', u'59.8039215,123.5294118,250', u'197,250,127.5', u'157.75,157.75,157.75']",Alternative,14,target
80031,MB,0,27342.00000000006,"[u'MB', u'A2', u'DC', u'MO']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'3.92156875,130.3921568,150', u'222.5,130.5,64.75']",Indie,15,target
80031,A1,3,22692,"[u'SH', u'MY', u'DY', u'A1']","[u'141.25,250,0', u'214.75,192.25,47', u'137.5,137.5,0', u'100,100,100']",Big Band,16,target
80031,MB,1,18883,"[u'MY', u'MB', u'SH', u'DH']","[u'214.75,192.25,47', u'114.7058823,130.3921568,219.6078433', u'141.25,250,0', u'99,137.5,0']",Progressive House,17,target
80031,DO,3,29044,"[u'SH', u'A3', u'SR', u'DO']","[u'141.25,250,0', u'197,197,197', u'250,0,44', u'137.5,80.5,0']",upper_right,18,catch
80031,MY,0,75245,"[u'MY', u'A2', u'DY', u'DB']","[u'214.75,192.25,47', u'157.75,157.75,157.75', u'137.5,137.5,0', u'14.70588225,65.6862745,164.7058823']",Dixieland,19,target
80031,A2,1,75620,"[u'DY', u'SY', u'A1', u'MB']","[u'137.5,137.5,0', u'250,250,0', u'100,100,100', u'114.7058823,130.3921568,219.6078433']",Electronic,20,target
80031,A2,1,75734,"[u'LC', u'MO', u'SR', u'DR']","[u'104.9019608,215.6862745,232.3529413', u'222.5,130.5,64.75', u'250,0,44', u'174.5,0,5.5']",Trance,21,target
80031,MY,1,18281.999999999884,"[u'SO', u'MY', u'SH', u'A1']","[u'250,100,0', u'214.75,192.25,47', u'141.25,250,0', u'100,100,100']",Ska,22,target
80031,DB,1,15782,"[u'A2', u'DB', u'LO', u'SH']","[u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'250,171.5,114.75', u'141.25,250,0']",Stravinsky,23,target
80031,LO,0,31998,"[u'LO', u'DB', u'SH', u'A2']","[u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0', u'157.75,157.75,157.75']",upper_left,24,catch
80031,SH,2,16949,"[u'LG', u'SR', u'SH', u'A2']","[u'106.862745,232.3529413,180.3921568', u'250,0,44', u'141.25,250,0', u'157.75,157.75,157.75']",Balkan Folk,25,target
