subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79552,1,1,6545.299999952316,"3,4,5",XX,en-q2,7,assess
79552,0,0,3245.399999976158,"doctor,dentist,psychiatrist",XX,en-q4,12,assess
79552,1,1,1580.199999988079,"pebble,cat,frog",XX,en-q3,17,assess
79552,0,0,1697.8999999761581,"New York,Boston,Chicago",XX,en-q1,22,assess
79552,SH,3,31319.19999998808,"[u'LR', u'MB', u'DH', u'SH']","[u'250,119.5,143.25', u'114.7058823,130.3921568,219.6078433', u'99,137.5,0', u'141.25,250,0']",Salsa,1,target
79552,MB,0,19893.19999998808,"[u'MB', u'DC', u'A2', u'MO']","[u'114.7058823,130.3921568,219.6078433', u'3.92156875,130.3921568,150', u'157.75,157.75,157.75', u'222.5,130.5,64.75']",Indie,2,target
79552,SR,0,17745.69999998808,"[u'SR', u'DR', u'LC', u'MO']","[u'250,0,44', u'174.5,0,5.5', u'104.9019608,215.6862745,232.3529413', u'222.5,130.5,64.75']",Trance,3,target
79552,A2,3,26355.599999964237,"[u'DY', u'LO', u'DB', u'A2']","[u'137.5,137.5,0', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823', u'157.75,157.75,157.75']",Jazz,4,target
79552,SP,2,41273.30000001192,"[u'LH', u'A1', u'SP', u'DY']","[u'197,250,127.5', u'100,100,100', u'200,0,250', u'137.5,137.5,0']",Bach,5,target
79552,DP,2,23023.5,"[u'SY', u'A3', u'DP', u'MY']","[u'250,250,0', u'197,197,197', u'113.7254903,0,145.0980393', u'214.75,192.25,47']",Hindustani Sitar,6,target
79552,MO,1,16944.5,"[u'BK', u'MO', u'MB', u'A2']","[u'0,0,0', u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75']",Smooth Jazz,8,target
79552,SH,0,19404.69999998808,"[u'SH', u'A2', u'LO', u'DB']","[u'141.25,250,0', u'157.75,157.75,157.75', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823']",upper_left,9,catch
79552,MB,0,42544.19999998808,"[u'MB', u'SH', u'A2', u'DO']","[u'114.7058823,130.3921568,219.6078433', u'141.25,250,0', u'157.75,157.75,157.75', u'137.5,80.5,0']",Mozart,10,target
79552,SH,1,23845.30000001192,"[u'MY', u'SH', u'MB', u'DH']","[u'214.75,192.25,47', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'99,137.5,0']",Progressive House,11,target
79552,DY,1,17295.19999998808,"[u'SY', u'DY', u'A1', u'MB']","[u'250,250,0', u'137.5,137.5,0', u'100,100,100', u'114.7058823,130.3921568,219.6078433']",Electronic,13,target
79552,A1,1,57226.799999952316,"[u'DY', u'A1', u'MY', u'SH']","[u'137.5,137.5,0', u'100,100,100', u'214.75,192.25,47', u'141.25,250,0']",Big Band,14,target
79552,LG,3,27741.899999976158,"[u'DH', u'SY', u'A2', u'LG']","[u'99,137.5,0', u'250,250,0', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Folk,15,target
79552,A2,0,20491.19999998808,"[u'A2', u'MB', u'BK', u'MO']","[u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433', u'0,0,0', u'222.5,130.5,64.75']",Piano,16,target
79552,A2,0,19543.30000001192,"[u'A2', u'MY', u'DY', u'DB']","[u'157.75,157.75,157.75', u'214.75,192.25,47', u'137.5,137.5,0', u'14.70588225,65.6862745,164.7058823']",Dixieland,18,target
79552,DB,0,33511.200000047684,"[u'DB', u'LO', u'SH', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'250,171.5,114.75', u'141.25,250,0', u'157.75,157.75,157.75']",Stravinsky,19,target
79552,DO,0,22078.5,"[u'DO', u'SB', u'LO', u'LR']","[u'137.5,80.5,0', u'59.8039215,123.5294118,250', u'250,171.5,114.75', u'250,119.5,143.25']",Dubstep,20,target
79552,SO,0,22429,"[u'SO', u'SH', u'MY', u'A1']","[u'250,100,0', u'141.25,250,0', u'214.75,192.25,47', u'100,100,100']",Ska,21,target
79552,DO,1,23926.099999964237,"[u'SH', u'DO', u'A3', u'SR']","[u'141.25,250,0', u'137.5,80.5,0', u'197,197,197', u'250,0,44']",upper_right,23,catch
79552,MB,0,17110.5,"[u'MB', u'LH', u'SP', u'DG']","[u'114.7058823,130.3921568,219.6078433', u'197,250,127.5', u'200,0,250', u'0,117.6470588,88.235294']",Classic Rock,24,target
79552,SO,1,18926.5,"[u'SH', u'SO', u'LR', u'A3']","[u'141.25,250,0', u'250,100,0', u'250,119.5,143.25', u'197,197,197']",Heavy Metal,25,target
79552,SH,1,37749.30000001192,"[u'SR', u'SH', u'A2', u'LG']","[u'250,0,44', u'141.25,250,0', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Balkan Folk,26,target
79552,SB,2,43956.40000003576,"[u'DY', u'A2', u'SB', u'LH']","[u'137.5,137.5,0', u'157.75,157.75,157.75', u'59.8039215,123.5294118,250', u'197,250,127.5']",Alternative,27,target
