subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
78023,1,1,3675.800000190735,"pebble,cat,frog",XX,en-q3,3,assess
78023,0,0,2399.2000000476837,"New York,Boston,Chicago",XX,en-q1,11,assess
78023,0,0,2197.4000000953674,"doctor,dentist,psychiatrist",XX,en-q4,14,assess
78023,1,1,5162.799999952316,"3,4,5",XX,en-q2,16,assess
78023,SO,2,17474.099999904633,"[u'LR', u'A3', u'SO', u'SH']","[u'250,119.5,143.25', u'197,197,197', u'250,100,0', u'141.25,250,0']",Heavy Metal,1,target
78023,BK,0,24975.10000014305,"[u'BK', u'MO', u'A2', u'MB']","[u'0,0,0', u'222.5,130.5,64.75', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Piano,2,target
78023,LR,1,16778.099999904633,"[u'SH', u'LR', u'DH', u'MB']","[u'141.25,250,0', u'250,119.5,143.25', u'99,137.5,0', u'114.7058823,130.3921568,219.6078433']",Salsa,4,target
78023,SP,1,18945.39999985695,"[u'DY', u'SP', u'A1', u'LH']","[u'137.5,137.5,0', u'200,0,250', u'100,100,100', u'197,250,127.5']",Bach,5,target
78023,DB,0,17261.5,"[u'DB', u'A2', u'LO', u'DY']","[u'14.70588225,65.6862745,164.7058823', u'157.75,157.75,157.75', u'250,171.5,114.75', u'137.5,137.5,0']",Jazz,6,target
78023,A2,0,38830.300000190735,"[u'A2', u'LO', u'SH', u'DB']","[u'157.75,157.75,157.75', u'250,171.5,114.75', u'141.25,250,0', u'14.70588225,65.6862745,164.7058823']",upper_left,7,catch
78023,LO,3,18329.099999904633,"[u'DB', u'A2', u'SH', u'LO']","[u'14.70588225,65.6862745,164.7058823', u'157.75,157.75,157.75', u'141.25,250,0', u'250,171.5,114.75']",Stravinsky,8,target
78023,SH,1,19676.099999904633,"[u'DO', u'SH', u'SR', u'A3']","[u'137.5,80.5,0', u'141.25,250,0', u'250,0,44', u'197,197,197']",upper_right,9,catch
78023,LC,1,16993,"[u'MO', u'LC', u'DR', u'SR']","[u'222.5,130.5,64.75', u'104.9019608,215.6862745,232.3529413', u'174.5,0,5.5', u'250,0,44']",Trance,10,target
78023,SY,0,19247.699999809265,"[u'SY', u'DY', u'MB', u'A1']","[u'250,250,0', u'137.5,137.5,0', u'114.7058823,130.3921568,219.6078433', u'100,100,100']",Electronic,12,target
78023,SH,1,17114,"[u'MY', u'SH', u'MB', u'DH']","[u'214.75,192.25,47', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'99,137.5,0']",Progressive House,13,target
78023,MY,0,17993.799999952316,"[u'MY', u'DP', u'A3', u'SY']","[u'214.75,192.25,47', u'113.7254903,0,145.0980393', u'197,197,197', u'250,250,0']",Hindustani Sitar,15,target
78023,SB,3,17227.300000190735,"[u'LR', u'LO', u'DO', u'SB']","[u'250,119.5,143.25', u'250,171.5,114.75', u'137.5,80.5,0', u'59.8039215,123.5294118,250']",Dubstep,17,target
78023,MB,1,17283,"[u'SH', u'MB', u'A2', u'DO']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'137.5,80.5,0']",Mozart,18,target
78023,MO,0,16945.60000014305,"[u'MO', u'A2', u'MB', u'BK']","[u'222.5,130.5,64.75', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433', u'0,0,0']",Smooth Jazz,19,target
78023,LH,0,16147.200000047684,"[u'LH', u'DY', u'SB', u'A2']","[u'197,250,127.5', u'137.5,137.5,0', u'59.8039215,123.5294118,250', u'157.75,157.75,157.75']",Alternative,20,target
78023,LG,1,16359.5,"[u'SR', u'LG', u'SH', u'A2']","[u'250,0,44', u'106.862745,232.3529413,180.3921568', u'141.25,250,0', u'157.75,157.75,157.75']",Balkan Folk,21,target
78023,SP,1,26228.10000014305,"[u'DG', u'SP', u'MB', u'LH']","[u'0,117.6470588,88.235294', u'200,0,250', u'114.7058823,130.3921568,219.6078433', u'197,250,127.5']",Classic Rock,22,target
78023,SO,1,16198.5,"[u'A1', u'SO', u'MY', u'SH']","[u'100,100,100', u'250,100,0', u'214.75,192.25,47', u'141.25,250,0']",Ska,23,target
78023,DY,3,21449.5,"[u'MY', u'SH', u'A1', u'DY']","[u'214.75,192.25,47', u'141.25,250,0', u'100,100,100', u'137.5,137.5,0']",Big Band,24,target
78023,MY,0,15600.099999904633,"[u'MY', u'DY', u'A2', u'DB']","[u'214.75,192.25,47', u'137.5,137.5,0', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823']",Dixieland,25,target
78023,DH,1,16179.599999904633,"[u'LG', u'DH', u'A2', u'SY']","[u'106.862745,232.3529413,180.3921568', u'99,137.5,0', u'157.75,157.75,157.75', u'250,250,0']",Folk,26,target
78023,DC,1,16013.600000143051,"[u'MO', u'DC', u'A2', u'MB']","[u'222.5,130.5,64.75', u'3.92156875,130.3921568,150', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Indie,27,target
