subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
77961,0,0,1216,"New York,Boston,Chicago",XX,en-q1,3,assess
77961,1,1,4071,"3,4,5",XX,en-q2,8,assess
77961,0,0,1593.0000000000018,"doctor,dentist,psychiatrist",XX,en-q4,10,assess
77961,1,1,1439,"pebble,cat,frog",XX,en-q3,18,assess
77961,LC,2,17532,"[u'SR', u'MO', u'LC', u'DR']","[u'250,0,44', u'222.5,130.5,64.75', u'104.9019608,215.6862745,232.3529413', u'174.5,0,5.5']",Trance,1,target
77961,MB,3,17969,"[u'DC', u'MO', u'A2', u'MB']","[u'3.92156875,130.3921568,150', u'222.5,130.5,64.75', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Indie,2,target
77961,BK,1,17045.000000000015,"[u'MO', u'BK', u'MB', u'A2']","[u'222.5,130.5,64.75', u'0,0,0', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75']",Piano,4,target
77961,SH,2,17951.999999999985,"[u'MY', u'A1', u'SH', u'SO']","[u'214.75,192.25,47', u'100,100,100', u'141.25,250,0', u'250,100,0']",Ska,5,target
77961,DB,3,18737,"[u'A2', u'DY', u'MY', u'DB']","[u'157.75,157.75,157.75', u'137.5,137.5,0', u'214.75,192.25,47', u'14.70588225,65.6862745,164.7058823']",Dixieland,6,target
77961,MY,0,20626.00000000003,"[u'MY', u'A3', u'SY', u'DP']","[u'214.75,192.25,47', u'197,197,197', u'250,250,0', u'113.7254903,0,145.0980393']",Hindustani Sitar,7,target
77961,MB,1,18151,"[u'A2', u'MB', u'MO', u'BK']","[u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75', u'0,0,0']",Smooth Jazz,9,target
77961,DO,1,18990.00000000003,"[u'SR', u'DO', u'SH', u'A3']","[u'250,0,44', u'137.5,80.5,0', u'141.25,250,0', u'197,197,197']",upper_right,11,catch
77961,LG,2,19534,"[u'SH', u'SR', u'LG', u'A2']","[u'141.25,250,0', u'250,0,44', u'106.862745,232.3529413,180.3921568', u'157.75,157.75,157.75']",Balkan Folk,12,target
77961,SH,3,17161.99999999997,"[u'LR', u'DH', u'MB', u'SH']","[u'250,119.5,143.25', u'99,137.5,0', u'114.7058823,130.3921568,219.6078433', u'141.25,250,0']",Salsa,13,target
77961,DB,3,18763.00000000003,"[u'DY', u'A2', u'LO', u'DB']","[u'137.5,137.5,0', u'157.75,157.75,157.75', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823']",Jazz,14,target
77961,SH,0,20141,"[u'SH', u'A3', u'LR', u'SO']","[u'141.25,250,0', u'197,197,197', u'250,119.5,143.25', u'250,100,0']",Heavy Metal,15,target
77961,DB,2,17587.99999999997,"[u'SH', u'A2', u'DB', u'LO']","[u'141.25,250,0', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'250,171.5,114.75']",Stravinsky,16,target
77961,SH,0,19067,"[u'SH', u'MB', u'MY', u'DH']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'214.75,192.25,47', u'99,137.5,0']",Progressive House,17,target
77961,A2,1,17387,"[u'SY', u'A2', u'DH', u'LG']","[u'250,250,0', u'157.75,157.75,157.75', u'99,137.5,0', u'106.862745,232.3529413,180.3921568']",Folk,20,target
77961,A1,3,17315,"[u'MY', u'SH', u'DY', u'A1']","[u'214.75,192.25,47', u'141.25,250,0', u'137.5,137.5,0', u'100,100,100']",Big Band,21,target
77961,SP,1,17354,"[u'MB', u'SP', u'LH', u'DG']","[u'114.7058823,130.3921568,219.6078433', u'200,0,250', u'197,250,127.5', u'0,117.6470588,88.235294']",Classic Rock,22,target
77961,SH,0,17828.99999999994,"[u'SH', u'A2', u'DO', u'MB']","[u'141.25,250,0', u'157.75,157.75,157.75', u'137.5,80.5,0', u'114.7058823,130.3921568,219.6078433']",Mozart,23,target
77961,SP,0,18793.00000000006,"[u'SP', u'LH', u'A1', u'DY']","[u'200,0,250', u'197,250,127.5', u'100,100,100', u'137.5,137.5,0']",Bach,24,target
77961,LH,1,17098.00000000006,"[u'DY', u'LH', u'SB', u'A2']","[u'137.5,137.5,0', u'197,250,127.5', u'59.8039215,123.5294118,250', u'157.75,157.75,157.75']",Alternative,25,target
77961,DB,0,19118,"[u'DB', u'LO', u'SH', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'250,171.5,114.75', u'141.25,250,0', u'157.75,157.75,157.75']",upper_left,26,catch
77961,SY,1,24858,"[u'A1', u'SY', u'MB', u'DY']","[u'100,100,100', u'250,250,0', u'114.7058823,130.3921568,219.6078433', u'137.5,137.5,0']",Electronic,27,target
