subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79500,1,1,5831,"3,4,5",XX,en-q2,1,assess
79500,0,0,1644,"doctor,dentist,psychiatrist",XX,en-q4,9,assess
79500,0,0,1660,"New York,Boston,Chicago",XX,en-q1,15,assess
79500,1,1,1633,"pebble,cat,frog",XX,en-q3,21,assess
79500,SH,2,18126,"[u'DH', u'LR', u'SH', u'MB']","[u'99,137.5,0', u'250,119.5,143.25', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433']",Salsa,2,target
79500,MO,1,18067,"[u'DC', u'MO', u'MB', u'A2']","[u'3.92156875,130.3921568,150', u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75']",Indie,3,target
79500,SR,1,21602,"[u'A3', u'SR', u'DO', u'SH']","[u'197,197,197', u'250,0,44', u'137.5,80.5,0', u'141.25,250,0']",upper_right,4,catch
79500,SR,0,69769,"[u'SR', u'A2', u'SH', u'LG']","[u'250,0,44', u'157.75,157.75,157.75', u'141.25,250,0', u'106.862745,232.3529413,180.3921568']",Balkan Folk,5,target
79500,MY,2,19769,"[u'DP', u'A3', u'MY', u'SY']","[u'113.7254903,0,145.0980393', u'197,197,197', u'214.75,192.25,47', u'250,250,0']",Hindustani Sitar,6,target
79500,LC,0,20462,"[u'LC', u'MO', u'DR', u'SR']","[u'104.9019608,215.6862745,232.3529413', u'222.5,130.5,64.75', u'174.5,0,5.5', u'250,0,44']",Trance,7,target
79500,SB,3,19192,"[u'LR', u'DO', u'LO', u'SB']","[u'250,119.5,143.25', u'137.5,80.5,0', u'250,171.5,114.75', u'59.8039215,123.5294118,250']",Dubstep,8,target
79500,A2,0,19107,"[u'A2', u'DY', u'DB', u'MY']","[u'157.75,157.75,157.75', u'137.5,137.5,0', u'14.70588225,65.6862745,164.7058823', u'214.75,192.25,47']",Dixieland,10,target
79500,LO,2,19252,"[u'SH', u'A2', u'LO', u'DB']","[u'141.25,250,0', u'157.75,157.75,157.75', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823']",Stravinsky,11,target
79500,SB,1,20782,"[u'DY', u'SB', u'A2', u'LH']","[u'137.5,137.5,0', u'59.8039215,123.5294118,250', u'157.75,157.75,157.75', u'197,250,127.5']",Alternative,12,target
79500,SO,3,20709,"[u'MY', u'A1', u'SH', u'SO']","[u'214.75,192.25,47', u'100,100,100', u'141.25,250,0', u'250,100,0']",Ska,13,target
79500,DY,1,18594,"[u'LO', u'DY', u'DB', u'A2']","[u'250,171.5,114.75', u'137.5,137.5,0', u'14.70588225,65.6862745,164.7058823', u'157.75,157.75,157.75']",Jazz,14,target
79500,MB,1,18003,"[u'DH', u'MB', u'MY', u'SH']","[u'99,137.5,0', u'114.7058823,130.3921568,219.6078433', u'214.75,192.25,47', u'141.25,250,0']",Progressive House,16,target
79500,A1,1,19428,"[u'MY', u'A1', u'SH', u'DY']","[u'214.75,192.25,47', u'100,100,100', u'141.25,250,0', u'137.5,137.5,0']",Big Band,17,target
79500,DO,0,19762,"[u'DO', u'A2', u'SH', u'MB']","[u'137.5,80.5,0', u'157.75,157.75,157.75', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433']",Mozart,18,target
79500,A3,0,18607,"[u'A3', u'LR', u'SO', u'SH']","[u'197,197,197', u'250,119.5,143.25', u'250,100,0', u'141.25,250,0']",Heavy Metal,19,target
79500,SY,0,18292,"[u'SY', u'DH', u'A2', u'LG']","[u'250,250,0', u'99,137.5,0', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Folk,20,target
79500,MB,1,19237,"[u'A2', u'MB', u'MO', u'BK']","[u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75', u'0,0,0']",Piano,22,target
79500,SP,3,32059,"[u'A1', u'DY', u'LH', u'SP']","[u'100,100,100', u'137.5,137.5,0', u'197,250,127.5', u'200,0,250']",Bach,23,target
79500,LO,0,20203,"[u'LO', u'DB', u'SH', u'A2']","[u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0', u'157.75,157.75,157.75']",upper_left,24,catch
79500,MO,1,18173,"[u'A2', u'MO', u'BK', u'MB']","[u'157.75,157.75,157.75', u'222.5,130.5,64.75', u'0,0,0', u'114.7058823,130.3921568,219.6078433']",Smooth Jazz,25,target
79500,SY,0,17514,"[u'SY', u'A1', u'MB', u'DY']","[u'250,250,0', u'100,100,100', u'114.7058823,130.3921568,219.6078433', u'137.5,137.5,0']",Electronic,26,target
79500,DG,0,24515,"[u'DG', u'MB', u'LH', u'SP']","[u'0,117.6470588,88.235294', u'114.7058823,130.3921568,219.6078433', u'197,250,127.5', u'200,0,250']",Classic Rock,27,target
