subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79884,1,1,22665.29999999702,"3,4,5",XX,en-q2,1,assess
79884,0,0,6240,"New York,Boston,Chicago",XX,en-q1,9,assess
79884,0,0,2097.60000000149,"doctor,dentist,psychiatrist",XX,en-q4,11,assess
79884,1,1,1879.2999999970198,"pebble,cat,frog",XX,en-q3,16,assess
79884,SH,0,40327.59999999404,"[u'SH', u'SR', u'LG', u'A2']","[u'141.25,250,0', u'250,0,44', u'106.862745,232.3529413,180.3921568', u'157.75,157.75,157.75']",Balkan Folk,2,target
79884,MB,3,18323.79999999702,"[u'MO', u'BK', u'A2', u'MB']","[u'222.5,130.5,64.75', u'0,0,0', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Smooth Jazz,3,target
79884,MY,1,17797.19999999553,"[u'A2', u'MY', u'DY', u'DB']","[u'157.75,157.75,157.75', u'214.75,192.25,47', u'137.5,137.5,0', u'14.70588225,65.6862745,164.7058823']",Dixieland,4,target
79884,A3,3,17019.90000000596,"[u'SH', u'SO', u'LR', u'A3']","[u'141.25,250,0', u'250,100,0', u'250,119.5,143.25', u'197,197,197']",Heavy Metal,5,target
79884,LH,2,17235.70000000298,"[u'DG', u'MB', u'LH', u'SP']","[u'0,117.6470588,88.235294', u'114.7058823,130.3921568,219.6078433', u'197,250,127.5', u'200,0,250']",Classic Rock,6,target
79884,LR,2,16341.5,"[u'DH', u'MB', u'LR', u'SH']","[u'99,137.5,0', u'114.7058823,130.3921568,219.6078433', u'250,119.5,143.25', u'141.25,250,0']",Salsa,7,target
79884,DP,3,16668.89999999851,"[u'SY', u'MY', u'A3', u'DP']","[u'250,250,0', u'214.75,192.25,47', u'197,197,197', u'113.7254903,0,145.0980393']",Hindustani Sitar,8,target
79884,LR,0,20696.89999999851,"[u'LR', u'LO', u'DO', u'SB']","[u'250,119.5,143.25', u'250,171.5,114.75', u'137.5,80.5,0', u'59.8039215,123.5294118,250']",Dubstep,10,target
79884,SY,1,16185.60000000149,"[u'MB', u'SY', u'A1', u'DY']","[u'114.7058823,130.3921568,219.6078433', u'250,250,0', u'100,100,100', u'137.5,137.5,0']",Electronic,12,target
79884,A2,3,18495.09999999404,"[u'BK', u'MO', u'MB', u'A2']","[u'0,0,0', u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75']",Piano,13,target
79884,DB,3,39376.70000000298,"[u'A2', u'SH', u'LO', u'DB']","[u'157.75,157.75,157.75', u'141.25,250,0', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823']",upper_left,14,catch
79884,DO,0,24059,"[u'DO', u'A2', u'SH', u'MB']","[u'137.5,80.5,0', u'157.75,157.75,157.75', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433']",Mozart,15,target
79884,A3,1,18688.39999999851,"[u'SR', u'A3', u'DO', u'SH']","[u'250,0,44', u'197,197,197', u'137.5,80.5,0', u'141.25,250,0']",upper_right,17,catch
79884,DR,3,18371.29999999702,"[u'SR', u'LC', u'MO', u'DR']","[u'250,0,44', u'104.9019608,215.6862745,232.3529413', u'222.5,130.5,64.75', u'174.5,0,5.5']",Trance,18,target
79884,SY,0,17192.69999999553,"[u'SY', u'LG', u'A2', u'DH']","[u'250,250,0', u'106.862745,232.3529413,180.3921568', u'157.75,157.75,157.75', u'99,137.5,0']",Folk,19,target
79884,DY,3,18559.79999999702,"[u'SP', u'LH', u'A1', u'DY']","[u'200,0,250', u'197,250,127.5', u'100,100,100', u'137.5,137.5,0']",Bach,20,target
79884,SH,0,18532.89999999851,"[u'SH', u'SO', u'MY', u'A1']","[u'141.25,250,0', u'250,100,0', u'214.75,192.25,47', u'100,100,100']",Ska,21,target
79884,SH,0,18719.10000000149,"[u'DC', u'A2', u'MO', u'MB']","[u'3.92156875,130.3921568,150', u'157.75,157.75,157.75', u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433']",Indie,22,target
79884,A2,1,18015.39999999851,"[u'LO', u'A2', u'DB', u'SH']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0']",Stravinsky,23,target
79884,LO,0,18269,"[u'LO', u'A2', u'DB', u'DY']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0']",Jazz,24,target
79884,LH,1,19031.30000000447,"[u'A2', u'LH', u'SB', u'DY']","[u'157.75,157.75,157.75', u'197,250,127.5', u'59.8039215,123.5294118,250', u'137.5,137.5,0']",Alternative,25,target
79884,SH,0,18002,"[u'SH', u'MY', u'MB', u'DH']","[u'141.25,250,0', u'214.75,192.25,47', u'114.7058823,130.3921568,219.6078433', u'99,137.5,0']",Progressive House,26,target
79884,MY,3,22458.79999999702,"[u'SH', u'DY', u'A1', u'MY']","[u'141.25,250,0', u'137.5,137.5,0', u'100,100,100', u'214.75,192.25,47']",Big Band,27,target
