subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
78401,0,0,8028,"doctor,dentist,psychiatrist",XX,en-q4,7,assess
78401,1,1,1961.1000000238419,"pebble,cat,frog",XX,en-q3,10,assess
78401,1,1,5505.800000011921,"3,4,5",XX,en-q2,24,assess
78401,0,0,1979.2999999821186,"New York,Boston,Chicago",XX,en-q1,27,assess
78401,DY,1,21400.29999998212,"[u'DB', u'DY', u'MY', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0', u'214.75,192.25,47', u'157.75,157.75,157.75']",Dixieland,1,target
78401,MY,2,18212.19999998808,"[u'DP', u'SY', u'MY', u'A3']","[u'113.7254903,0,145.0980393', u'250,250,0', u'214.75,192.25,47', u'197,197,197']",Hindustani Sitar,2,target
78401,DB,3,17774.5,"[u'LO', u'A2', u'SH', u'DB']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'141.25,250,0', u'14.70588225,65.6862745,164.7058823']",Stravinsky,3,target
78401,SP,0,17249.19999998808,"[u'SP', u'A1', u'DY', u'LH']","[u'200,0,250', u'100,100,100', u'137.5,137.5,0', u'197,250,127.5']",Bach,4,target
78401,DY,2,17353.40000000596,"[u'SH', u'A1', u'DY', u'MY']","[u'141.25,250,0', u'100,100,100', u'137.5,137.5,0', u'214.75,192.25,47']",Big Band,5,target
78401,A2,2,24712.59999999404,"[u'SH', u'SR', u'A2', u'LG']","[u'141.25,250,0', u'250,0,44', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Balkan Folk,6,target
78401,SY,1,16453.5,"[u'DY', u'SY', u'A1', u'MB']","[u'137.5,137.5,0', u'250,250,0', u'100,100,100', u'114.7058823,130.3921568,219.6078433']",Electronic,8,target
78401,SR,1,19496.5,"[u'SH', u'SR', u'DO', u'A3']","[u'141.25,250,0', u'250,0,44', u'137.5,80.5,0', u'197,197,197']",upper_right,9,catch
78401,MB,1,23889.19999998808,"[u'SH', u'MB', u'A2', u'DO']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'137.5,80.5,0']",Mozart,11,target
78401,MO,0,16329.600000023842,"[u'MO', u'DC', u'MB', u'A2']","[u'222.5,130.5,64.75', u'3.92156875,130.3921568,150', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75']",Indie,12,target
