subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
78776,0,0,2472.5999999046326,"doctor,dentist,psychiatrist",XX,en-q4,9,assess
78776,1,1,5515.799999952316,"3,4,5",XX,en-q2,10,assess
78776,0,0,1343.2999999523163,"New York,Boston,Chicago",XX,en-q1,11,assess
78776,1,1,1342.2000000476837,"pebble,cat,frog",XX,en-q3,21,assess
78776,DY,1,37770,"[u'DB', u'DY', u'MY', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0', u'214.75,192.25,47', u'157.75,157.75,157.75']",Dixieland,1,target
78776,SB,0,18523.900000095367,"[u'SB', u'A2', u'DY', u'LH']","[u'59.8039215,123.5294118,250', u'157.75,157.75,157.75', u'137.5,137.5,0', u'197,250,127.5']",Alternative,2,target
78776,SP,0,25346.299999952316,"[u'SP', u'DY', u'A1', u'LH']","[u'200,0,250', u'137.5,137.5,0', u'100,100,100', u'197,250,127.5']",Bach,3,target
78776,LR,2,16771,"[u'MB', u'SH', u'LR', u'DH']","[u'114.7058823,130.3921568,219.6078433', u'141.25,250,0', u'250,119.5,143.25', u'99,137.5,0']",Salsa,4,target
78776,SO,0,18462.60000014305,"[u'SO', u'MY', u'SH', u'A1']","[u'250,100,0', u'214.75,192.25,47', u'141.25,250,0', u'100,100,100']",Ska,5,target
78776,MY,1,16839.89999985695,"[u'SH', u'MY', u'A1', u'DY']","[u'141.25,250,0', u'214.75,192.25,47', u'100,100,100', u'137.5,137.5,0']",Big Band,6,target
78776,A3,1,19052.5,"[u'SR', u'A3', u'DO', u'SH']","[u'250,0,44', u'197,197,197', u'137.5,80.5,0', u'141.25,250,0']",upper_right,7,catch
78776,SO,1,20660.800000190735,"[u'LR', u'SO', u'SH', u'A3']","[u'250,119.5,143.25', u'250,100,0', u'141.25,250,0', u'197,197,197']",Heavy Metal,8,target
78776,MB,0,51354.299999952316,"[u'MB', u'A2', u'BK', u'MO']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'0,0,0', u'222.5,130.5,64.75']",Smooth Jazz,12,target
78776,LO,0,18931.400000095367,"[u'LO', u'A2', u'SH', u'DB']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'141.25,250,0', u'14.70588225,65.6862745,164.7058823']",upper_left,13,catch
78776,DH,0,17865.5,"[u'DH', u'A2', u'LG', u'SY']","[u'99,137.5,0', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568', u'250,250,0']",Folk,14,target
78776,DG,3,23722.800000190735,"[u'LH', u'SP', u'MB', u'DG']","[u'197,250,127.5', u'200,0,250', u'114.7058823,130.3921568,219.6078433', u'0,117.6470588,88.235294']",Classic Rock,15,target
78776,DH,3,17289.599999904633,"[u'MY', u'SH', u'MB', u'DH']","[u'214.75,192.25,47', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'99,137.5,0']",Progressive House,16,target
78776,MB,3,22443.5,"[u'DO', u'A2', u'SH', u'MB']","[u'137.5,80.5,0', u'157.75,157.75,157.75', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433']",Mozart,17,target
78776,DY,3,17384.299999952316,"[u'MB', u'SY', u'A1', u'DY']","[u'114.7058823,130.3921568,219.6078433', u'250,250,0', u'100,100,100', u'137.5,137.5,0']",Electronic,18,target
78776,DC,1,16989.700000047684,"[u'MO', u'DC', u'MB', u'A2']","[u'222.5,130.5,64.75', u'3.92156875,130.3921568,150', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75']",Indie,19,target
78776,DP,1,17063.599999904633,"[u'MY', u'DP', u'A3', u'SY']","[u'214.75,192.25,47', u'113.7254903,0,145.0980393', u'197,197,197', u'250,250,0']",Hindustani Sitar,20,target
78776,LG,3,21793.89999985695,"[u'SH', u'SR', u'A2', u'LG']","[u'141.25,250,0', u'250,0,44', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Balkan Folk,22,target
78776,DB,3,16363.099999904633,"[u'SH', u'LO', u'A2', u'DB']","[u'141.25,250,0', u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823']",Stravinsky,23,target
78776,DO,3,24339.400000095367,"[u'LR', u'LO', u'SB', u'DO']","[u'250,119.5,143.25', u'250,171.5,114.75', u'59.8039215,123.5294118,250', u'137.5,80.5,0']",Dubstep,24,target
78776,DR,0,18744.799999952316,"[u'DR', u'MO', u'SR', u'LC']","[u'174.5,0,5.5', u'222.5,130.5,64.75', u'250,0,44', u'104.9019608,215.6862745,232.3529413']",Trance,25,target
78776,DB,3,20030.5,"[u'A2', u'DY', u'LO', u'DB']","[u'157.75,157.75,157.75', u'137.5,137.5,0', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823']",Jazz,26,target
78776,MB,1,15919.099999904633,"[u'MO', u'MB', u'BK', u'A2']","[u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433', u'0,0,0', u'157.75,157.75,157.75']",Piano,27,target
