subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
78301,1,1,8161.0999999940395,"3,4,5",XX,en-q2,2,assess
78301,1,1,1898.7999999970198,"pebble,cat,frog",XX,en-q3,8,assess
78301,0,0,1639,"New York,Boston,Chicago",XX,en-q1,12,assess
78301,0,0,1509.2999999970198,"doctor,dentist,psychiatrist",XX,en-q4,20,assess
78301,MY,3,18759.29999999702,"[u'SH', u'DY', u'A1', u'MY']","[u'141.25,250,0', u'137.5,137.5,0', u'100,100,100', u'214.75,192.25,47']",Big Band,1,target
78301,MB,1,19358.20000000298,"[u'SH', u'MB', u'A2', u'DO']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'137.5,80.5,0']",Mozart,3,target
78301,SO,2,17072.40000000596,"[u'A3', u'SH', u'SO', u'LR']","[u'197,197,197', u'141.25,250,0', u'250,100,0', u'250,119.5,143.25']",Heavy Metal,4,target
78301,DY,1,16571,"[u'DB', u'DY', u'MY', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0', u'214.75,192.25,47', u'157.75,157.75,157.75']",Dixieland,5,target
78301,SO,0,17198.79999999702,"[u'SO', u'MY', u'A1', u'SH']","[u'250,100,0', u'214.75,192.25,47', u'100,100,100', u'141.25,250,0']",Ska,6,target
78301,LC,1,16650.5,"[u'DR', u'LC', u'SR', u'MO']","[u'174.5,0,5.5', u'104.9019608,215.6862745,232.3529413', u'250,0,44', u'222.5,130.5,64.75']",Trance,7,target
78301,LO,1,16442.10000000894,"[u'A2', u'LO', u'DB', u'DY']","[u'157.75,157.75,157.75', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0']",Jazz,9,target
78301,SH,2,17134,"[u'DH', u'MB', u'SH', u'MY']","[u'99,137.5,0', u'114.7058823,130.3921568,219.6078433', u'141.25,250,0', u'214.75,192.25,47']",Progressive House,10,target
78301,LO,0,18831.39999999106,"[u'LO', u'A2', u'DB', u'SH']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0']",upper_left,11,catch
78301,MB,2,16763.19999998808,"[u'BK', u'A2', u'MB', u'MO']","[u'0,0,0', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75']",Smooth Jazz,13,target
78301,MB,3,16215.5,"[u'MO', u'DC', u'A2', u'MB']","[u'222.5,130.5,64.75', u'3.92156875,130.3921568,150', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Indie,14,target
78301,LR,2,16119.5,"[u'LO', u'DO', u'LR', u'SB']","[u'250,171.5,114.75', u'137.5,80.5,0', u'250,119.5,143.25', u'59.8039215,123.5294118,250']",Dubstep,15,target
78301,A3,1,18314.20000000298,"[u'SR', u'A3', u'DO', u'SH']","[u'250,0,44', u'197,197,197', u'137.5,80.5,0', u'141.25,250,0']",upper_right,16,catch
78301,DY,1,36059.10000000894,"[u'LH', u'DY', u'SB', u'A2']","[u'197,250,127.5', u'137.5,137.5,0', u'59.8039215,123.5294118,250', u'157.75,157.75,157.75']",Alternative,17,target
78301,SP,1,16532.80000001192,"[u'LH', u'SP', u'DG', u'MB']","[u'197,250,127.5', u'200,0,250', u'0,117.6470588,88.235294', u'114.7058823,130.3921568,219.6078433']",Classic Rock,18,target
78301,LH,3,16807.09999999404,"[u'DY', u'SP', u'A1', u'LH']","[u'137.5,137.5,0', u'200,0,250', u'100,100,100', u'197,250,127.5']",Bach,19,target
78301,MY,1,24451.09999999404,"[u'DP', u'MY', u'A3', u'SY']","[u'113.7254903,0,145.0980393', u'214.75,192.25,47', u'197,197,197', u'250,250,0']",Hindustani Sitar,21,target
78301,SY,0,16944.10000000894,"[u'SY', u'DY', u'A1', u'MB']","[u'250,250,0', u'137.5,137.5,0', u'100,100,100', u'114.7058823,130.3921568,219.6078433']",Electronic,22,target
78301,DB,2,16973.59999999404,"[u'LO', u'A2', u'DB', u'SH']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0']",Stravinsky,23,target
78301,DH,0,16080.5,"[u'DH', u'SH', u'MB', u'LR']","[u'99,137.5,0', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'250,119.5,143.25']",Salsa,24,target
78301,MB,0,16432.29999999702,"[u'MB', u'A2', u'BK', u'MO']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'0,0,0', u'222.5,130.5,64.75']",Piano,25,target
78301,SY,1,16674,"[u'A2', u'SY', u'DH', u'LG']","[u'157.75,157.75,157.75', u'250,250,0', u'99,137.5,0', u'106.862745,232.3529413,180.3921568']",Folk,26,target
78301,LG,3,17443.90000000596,"[u'SH', u'SR', u'A2', u'LG']","[u'141.25,250,0', u'250,0,44', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Balkan Folk,27,target
