subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79457,1,1,6531,"3,4,5",XX,en-q2,1,assess
79457,0,0,2228,"New York,Boston,Chicago",XX,en-q1,4,assess
79457,0,0,1688.0000000000036,"doctor,dentist,psychiatrist",XX,en-q4,15,assess
79457,1,1,1607,"pebble,cat,frog",XX,en-q3,18,assess
79457,SH,2,19511,"[u'A1', u'MY', u'SH', u'SO']","[u'100,100,100', u'214.75,192.25,47', u'141.25,250,0', u'250,100,0']",Ska,2,target
79457,SR,2,16950.999999999993,"[u'LC', u'DR', u'SR', u'MO']","[u'104.9019608,215.6862745,232.3529413', u'174.5,0,5.5', u'250,0,44', u'222.5,130.5,64.75']",Trance,3,target
79457,MY,3,17144,"[u'SY', u'A3', u'DP', u'MY']","[u'250,250,0', u'197,197,197', u'113.7254903,0,145.0980393', u'214.75,192.25,47']",Hindustani Sitar,5,target
79457,SB,3,16948,"[u'LO', u'LR', u'DO', u'SB']","[u'250,171.5,114.75', u'250,119.5,143.25', u'137.5,80.5,0', u'59.8039215,123.5294118,250']",Dubstep,6,target
79457,SR,1,38750.999999999985,"[u'SH', u'SR', u'A3', u'DO']","[u'141.25,250,0', u'250,0,44', u'197,197,197', u'137.5,80.5,0']",upper_right,7,catch
79457,DG,0,18267,"[u'DG', u'LH', u'MB', u'SP']","[u'0,117.6470588,88.235294', u'197,250,127.5', u'114.7058823,130.3921568,219.6078433', u'200,0,250']",Classic Rock,8,target
79457,MB,0,18064,"[u'MB', u'A2', u'MO', u'BK']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'222.5,130.5,64.75', u'0,0,0']",Piano,9,target
79457,DY,2,17167.99999999997,"[u'A1', u'SP', u'DY', u'LH']","[u'100,100,100', u'200,0,250', u'137.5,137.5,0', u'197,250,127.5']",Bach,10,target
79457,MO,0,17098,"[u'MO', u'MB', u'BK', u'A2']","[u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433', u'0,0,0', u'157.75,157.75,157.75']",Smooth Jazz,11,target
79457,MY,2,16876,"[u'DY', u'DB', u'MY', u'A2']","[u'137.5,137.5,0', u'14.70588225,65.6862745,164.7058823', u'214.75,192.25,47', u'157.75,157.75,157.75']",Dixieland,12,target
79457,SY,1,16985,"[u'MB', u'SY', u'DY', u'A1']","[u'114.7058823,130.3921568,219.6078433', u'250,250,0', u'137.5,137.5,0', u'100,100,100']",Electronic,13,target
79457,MB,1,16580.99999999997,"[u'SH', u'MB', u'A2', u'DO']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'137.5,80.5,0']",Mozart,14,target
79457,DB,0,16491,"[u'DB', u'LO', u'A2', u'DY']","[u'14.70588225,65.6862745,164.7058823', u'250,171.5,114.75', u'157.75,157.75,157.75', u'137.5,137.5,0']",Jazz,16,target
79457,DH,1,17333,"[u'A2', u'DH', u'LG', u'SY']","[u'157.75,157.75,157.75', u'99,137.5,0', u'106.862745,232.3529413,180.3921568', u'250,250,0']",Folk,17,target
79457,DC,1,16500,"[u'A2', u'DC', u'MO', u'MB']","[u'157.75,157.75,157.75', u'3.92156875,130.3921568,150', u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433']",Indie,19,target
79457,DB,0,18303,"[u'DB', u'LO', u'A2', u'SH']","[u'14.70588225,65.6862745,164.7058823', u'250,171.5,114.75', u'157.75,157.75,157.75', u'141.25,250,0']",upper_left,20,catch
79457,SO,0,18464,"[u'SO', u'LR', u'SH', u'A3']","[u'250,100,0', u'250,119.5,143.25', u'141.25,250,0', u'197,197,197']",Heavy Metal,21,target
79457,SH,0,16644,"[u'SH', u'MY', u'MB', u'DH']","[u'141.25,250,0', u'214.75,192.25,47', u'114.7058823,130.3921568,219.6078433', u'99,137.5,0']",Progressive House,22,target
79457,DB,0,17488,"[u'DB', u'A2', u'LO', u'SH']","[u'14.70588225,65.6862745,164.7058823', u'157.75,157.75,157.75', u'250,171.5,114.75', u'141.25,250,0']",Stravinsky,23,target
79457,MY,0,16778,"[u'MY', u'A1', u'DY', u'SH']","[u'214.75,192.25,47', u'100,100,100', u'137.5,137.5,0', u'141.25,250,0']",Big Band,24,target
79457,LG,0,17212,"[u'LG', u'A2', u'SH', u'SR']","[u'106.862745,232.3529413,180.3921568', u'157.75,157.75,157.75', u'141.25,250,0', u'250,0,44']",Balkan Folk,25,target
79457,SB,2,16537.00000000006,"[u'A2', u'LH', u'SB', u'DY']","[u'157.75,157.75,157.75', u'197,250,127.5', u'59.8039215,123.5294118,250', u'137.5,137.5,0']",Alternative,26,target
79457,LR,2,16755,"[u'SH', u'DH', u'LR', u'MB']","[u'141.25,250,0', u'99,137.5,0', u'250,119.5,143.25', u'114.7058823,130.3921568,219.6078433']",Salsa,27,target
