subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79566,1,1,6472.60000038147,"pebble,cat,frog",XX,en-q3,2,assess
79566,0,0,3458.2999997138977,"doctor,dentist,psychiatrist",XX,en-q4,3,assess
79566,1,1,6591.599999904633,"3,4,5",XX,en-q2,20,assess
79566,0,0,2806.2999997138977,"New York,Boston,Chicago",XX,en-q1,22,assess
79566,SH,2,19247.5,"[u'MY', u'MB', u'SH', u'DH']","[u'214.75,192.25,47', u'114.7058823,130.3921568,219.6078433', u'141.25,250,0', u'99,137.5,0']",Progressive House,1,target
79566,MY,1,18029.799999713898,"[u'A2', u'MY', u'DY', u'DB']","[u'157.75,157.75,157.75', u'214.75,192.25,47', u'137.5,137.5,0', u'14.70588225,65.6862745,164.7058823']",Dixieland,4,target
79566,MB,2,20517.800000190735,"[u'MO', u'BK', u'MB', u'A2']","[u'222.5,130.5,64.75', u'0,0,0', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75']",Smooth Jazz,5,target
79566,SO,1,20088.400000095367,"[u'LR', u'SO', u'SH', u'A3']","[u'250,119.5,143.25', u'250,100,0', u'141.25,250,0', u'197,197,197']",Heavy Metal,6,target
79566,MB,0,23074.400000095367,"[u'MB', u'A2', u'BK', u'MO']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'0,0,0', u'222.5,130.5,64.75']",Piano,7,target
79566,DC,0,17450.800000190735,"[u'DC', u'MO', u'MB', u'A2']","[u'3.92156875,130.3921568,150', u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75']",Indie,8,target
79566,LG,1,17215.799999713898,"[u'SH', u'LG', u'A2', u'SR']","[u'141.25,250,0', u'106.862745,232.3529413,180.3921568', u'157.75,157.75,157.75', u'250,0,44']",Balkan Folk,9,target
79566,LG,1,16521.699999809265,"[u'SY', u'LG', u'DH', u'A2']","[u'250,250,0', u'106.862745,232.3529413,180.3921568', u'99,137.5,0', u'157.75,157.75,157.75']",Folk,10,target
79566,SH,2,22782.800000190735,"[u'A1', u'MY', u'SH', u'SO']","[u'100,100,100', u'214.75,192.25,47', u'141.25,250,0', u'250,100,0']",Ska,11,target
79566,SH,3,33830,"[u'DH', u'MB', u'LR', u'SH']","[u'99,137.5,0', u'114.7058823,130.3921568,219.6078433', u'250,119.5,143.25', u'141.25,250,0']",Salsa,12,target
79566,SP,2,17647.300000190735,"[u'DG', u'MB', u'SP', u'LH']","[u'0,117.6470588,88.235294', u'114.7058823,130.3921568,219.6078433', u'200,0,250', u'197,250,127.5']",Classic Rock,13,target
79566,LH,0,37109.09999990463,"[u'LH', u'SP', u'A1', u'DY']","[u'197,250,127.5', u'200,0,250', u'100,100,100', u'137.5,137.5,0']",Bach,14,target
79566,SR,3,28712.400000095367,"[u'LC', u'DR', u'MO', u'SR']","[u'104.9019608,215.6862745,232.3529413', u'174.5,0,5.5', u'222.5,130.5,64.75', u'250,0,44']",Trance,15,target
79566,MY,0,17164.800000190735,"[u'MY', u'DY', u'SH', u'A1']","[u'214.75,192.25,47', u'137.5,137.5,0', u'141.25,250,0', u'100,100,100']",Big Band,16,target
79566,DP,2,29375.5,"[u'MY', u'SY', u'DP', u'A3']","[u'214.75,192.25,47', u'250,250,0', u'113.7254903,0,145.0980393', u'197,197,197']",Hindustani Sitar,17,target
79566,A2,1,17838.400000095367,"[u'LO', u'A2', u'DB', u'SH']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0']",Stravinsky,18,target
79566,DB,0,20312.299999713898,"[u'DB', u'LO', u'DY', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'250,171.5,114.75', u'137.5,137.5,0', u'157.75,157.75,157.75']",Jazz,19,target
79566,SH,0,19887.10000038147,"[u'SH', u'DB', u'A2', u'LO']","[u'141.25,250,0', u'14.70588225,65.6862745,164.7058823', u'157.75,157.75,157.75', u'250,171.5,114.75']",upper_left,21,catch
79566,SY,0,16499.599999904633,"[u'SY', u'DY', u'A1', u'MB']","[u'250,250,0', u'137.5,137.5,0', u'100,100,100', u'114.7058823,130.3921568,219.6078433']",Electronic,23,target
79566,DO,2,19274.400000095367,"[u'LR', u'LO', u'DO', u'SB']","[u'250,119.5,143.25', u'250,171.5,114.75', u'137.5,80.5,0', u'59.8039215,123.5294118,250']",Dubstep,24,target
79566,SB,3,16196.900000095367,"[u'A2', u'DY', u'LH', u'SB']","[u'157.75,157.75,157.75', u'137.5,137.5,0', u'197,250,127.5', u'59.8039215,123.5294118,250']",Alternative,25,target
79566,SH,1,18817,"[u'A3', u'SH', u'DO', u'SR']","[u'197,197,197', u'141.25,250,0', u'137.5,80.5,0', u'250,0,44']",upper_right,26,catch
79566,A2,1,22476,"[u'MB', u'A2', u'SH', u'DO']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'141.25,250,0', u'137.5,80.5,0']",Mozart,27,target
