subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79395,1,1,2453.2000000476837,"pebble,cat,frog",XX,en-q3,4,assess
79395,0,0,1798.1000000238419,"doctor,dentist,psychiatrist",XX,en-q4,19,assess
79395,1,1,6138.200000047684,"3,4,5",XX,en-q2,20,assess
79395,0,0,2004.7000000476837,"New York,Boston,Chicago",XX,en-q1,22,assess
79395,DB,3,18337,"[u'LO', u'SH', u'A2', u'DB']","[u'250,171.5,114.75', u'141.25,250,0', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823']",Stravinsky,1,target
79395,SH,1,16981.700000047684,"[u'MY', u'SH', u'MB', u'DH']","[u'214.75,192.25,47', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'99,137.5,0']",Progressive House,2,target
79395,LR,3,17728,"[u'DH', u'MB', u'SH', u'LR']","[u'99,137.5,0', u'114.7058823,130.3921568,219.6078433', u'141.25,250,0', u'250,119.5,143.25']",Salsa,3,target
79395,SH,1,20322.299999952316,"[u'SR', u'SH', u'A3', u'DO']","[u'250,0,44', u'141.25,250,0', u'197,197,197', u'137.5,80.5,0']",upper_right,5,catch
79395,SO,2,18301.600000023842,"[u'MY', u'A1', u'SO', u'SH']","[u'214.75,192.25,47', u'100,100,100', u'250,100,0', u'141.25,250,0']",Ska,6,target
79395,MB,1,17886.200000047684,"[u'SH', u'MB', u'DO', u'A2']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'137.5,80.5,0', u'157.75,157.75,157.75']",Mozart,7,target
79395,MY,3,17022.600000023842,"[u'SH', u'A1', u'DY', u'MY']","[u'141.25,250,0', u'100,100,100', u'137.5,137.5,0', u'214.75,192.25,47']",Big Band,8,target
79395,LO,0,17159.5,"[u'LO', u'DB', u'A2', u'DY']","[u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823', u'157.75,157.75,157.75', u'137.5,137.5,0']",Jazz,9,target
79395,SH,3,17544.100000023842,"[u'SO', u'A3', u'LR', u'SH']","[u'250,100,0', u'197,197,197', u'250,119.5,143.25', u'141.25,250,0']",Heavy Metal,10,target
79395,LH,3,19451.899999976158,"[u'DY', u'SP', u'A1', u'LH']","[u'137.5,137.5,0', u'200,0,250', u'100,100,100', u'197,250,127.5']",Bach,11,target
79395,DC,2,16936.600000023842,"[u'MB', u'MO', u'DC', u'A2']","[u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75', u'3.92156875,130.3921568,150', u'157.75,157.75,157.75']",Indie,12,target
79395,SB,1,17702.099999904633,"[u'DO', u'SB', u'LR', u'LO']","[u'137.5,80.5,0', u'59.8039215,123.5294118,250', u'250,119.5,143.25', u'250,171.5,114.75']",Dubstep,13,target
79395,LG,3,17559.200000047684,"[u'SY', u'DH', u'A2', u'LG']","[u'250,250,0', u'99,137.5,0', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Folk,14,target
79395,SP,3,17693.699999928474,"[u'MB', u'LH', u'DG', u'SP']","[u'114.7058823,130.3921568,219.6078433', u'197,250,127.5', u'0,117.6470588,88.235294', u'200,0,250']",Classic Rock,15,target
79395,DY,2,17343.899999976158,"[u'DB', u'A2', u'DY', u'MY']","[u'14.70588225,65.6862745,164.7058823', u'157.75,157.75,157.75', u'137.5,137.5,0', u'214.75,192.25,47']",Dixieland,16,target
79395,SR,3,17002.399999976158,"[u'DR', u'LC', u'MO', u'SR']","[u'174.5,0,5.5', u'104.9019608,215.6862745,232.3529413', u'222.5,130.5,64.75', u'250,0,44']",Trance,17,target
79395,LO,0,19037.600000023842,"[u'LO', u'A2', u'DB', u'SH']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0']",upper_left,18,catch
79395,MY,1,18398.299999952316,"[u'SY', u'MY', u'DP', u'A3']","[u'250,250,0', u'214.75,192.25,47', u'113.7254903,0,145.0980393', u'197,197,197']",Hindustani Sitar,21,target
79395,MB,3,18020.900000095367,"[u'MO', u'BK', u'A2', u'MB']","[u'222.5,130.5,64.75', u'0,0,0', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Piano,23,target
79395,SY,3,18347.5,"[u'A1', u'MB', u'DY', u'SY']","[u'100,100,100', u'114.7058823,130.3921568,219.6078433', u'137.5,137.5,0', u'250,250,0']",Electronic,24,target
79395,SB,1,18414.399999976158,"[u'A2', u'SB', u'DY', u'LH']","[u'157.75,157.75,157.75', u'59.8039215,123.5294118,250', u'137.5,137.5,0', u'197,250,127.5']",Alternative,25,target
79395,MB,0,17663.300000071526,"[u'MB', u'A2', u'BK', u'MO']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'0,0,0', u'222.5,130.5,64.75']",Smooth Jazz,26,target
79395,LG,1,19442.200000047684,"[u'SH', u'LG', u'SR', u'A2']","[u'141.25,250,0', u'106.862745,232.3529413,180.3921568', u'250,0,44', u'157.75,157.75,157.75']",Balkan Folk,27,target
