subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79328,1,1,4882.300000071526,"pebble,cat,frog",XX,en-q3,6,assess
79328,0,0,2093.100000023842,"doctor,dentist,psychiatrist",XX,en-q4,15,assess
79328,1,1,4629.600000023842,"3,4,5",XX,en-q2,24,assess
79328,0,0,2037,"New York,Boston,Chicago",XX,en-q1,26,assess
79328,SO,1,22186.600000023842,"[u'SH', u'SO', u'MY', u'A1']","[u'141.25,250,0', u'250,100,0', u'214.75,192.25,47', u'100,100,100']",Ska,1,target
79328,DB,3,21580.5,"[u'A2', u'DY', u'LO', u'DB']","[u'157.75,157.75,157.75', u'137.5,137.5,0', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823']",Jazz,2,target
79328,A3,1,22165.100000023842,"[u'SR', u'A3', u'DO', u'SH']","[u'250,0,44', u'197,197,197', u'137.5,80.5,0', u'141.25,250,0']",upper_right,3,catch
79328,LH,0,27814.5,"[u'LH', u'A1', u'SP', u'DY']","[u'197,250,127.5', u'100,100,100', u'200,0,250', u'137.5,137.5,0']",Bach,4,target
79328,A2,2,18906.600000023842,"[u'BK', u'MO', u'A2', u'MB']","[u'0,0,0', u'222.5,130.5,64.75', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Piano,5,target
79328,LR,2,24908.900000095367,"[u'MB', u'SH', u'LR', u'DH']","[u'114.7058823,130.3921568,219.6078433', u'141.25,250,0', u'250,119.5,143.25', u'99,137.5,0']",Salsa,7,target
79328,SY,0,19573.799999952316,"[u'SY', u'DH', u'A2', u'LG']","[u'250,250,0', u'99,137.5,0', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Folk,8,target
79328,LG,3,24623.799999952316,"[u'SH', u'SR', u'A2', u'LG']","[u'141.25,250,0', u'250,0,44', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Balkan Folk,9,target
79328,DY,2,18202.100000023842,"[u'A1', u'SH', u'DY', u'MY']","[u'100,100,100', u'141.25,250,0', u'137.5,137.5,0', u'214.75,192.25,47']",Big Band,10,target
79328,MB,0,19757.799999952316,"[u'MB', u'A2', u'DO', u'SH']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'137.5,80.5,0', u'141.25,250,0']",Mozart,11,target
79328,LH,0,16465.599999904633,"[u'LH', u'DY', u'SB', u'A2']","[u'197,250,127.5', u'137.5,137.5,0', u'59.8039215,123.5294118,250', u'157.75,157.75,157.75']",Alternative,12,target
79328,MO,1,18256.800000071526,"[u'MB', u'MO', u'A2', u'BK']","[u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75', u'157.75,157.75,157.75', u'0,0,0']",Smooth Jazz,13,target
79328,LO,0,19391.400000095367,"[u'LO', u'SH', u'A2', u'DB']","[u'250,171.5,114.75', u'141.25,250,0', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823']",upper_left,14,catch
79328,LR,0,19302.600000023842,"[u'LR', u'SH', u'A3', u'SO']","[u'250,119.5,143.25', u'141.25,250,0', u'197,197,197', u'250,100,0']",Heavy Metal,16,target
79328,LC,2,17382.400000095367,"[u'SR', u'DR', u'LC', u'MO']","[u'250,0,44', u'174.5,0,5.5', u'104.9019608,215.6862745,232.3529413', u'222.5,130.5,64.75']",Trance,17,target
79328,SY,0,17407.399999976158,"[u'SY', u'DY', u'A1', u'MB']","[u'250,250,0', u'137.5,137.5,0', u'100,100,100', u'114.7058823,130.3921568,219.6078433']",Electronic,18,target
79328,DH,3,17113.200000047684,"[u'MY', u'SH', u'MB', u'DH']","[u'214.75,192.25,47', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'99,137.5,0']",Progressive House,19,target
79328,SP,2,18664.099999904633,"[u'MB', u'DG', u'SP', u'LH']","[u'114.7058823,130.3921568,219.6078433', u'0,117.6470588,88.235294', u'200,0,250', u'197,250,127.5']",Classic Rock,20,target
79328,A2,1,17683.5,"[u'LO', u'A2', u'DB', u'SH']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0']",Stravinsky,21,target
79328,DB,1,17040.299999952316,"[u'MY', u'DB', u'DY', u'A2']","[u'214.75,192.25,47', u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0', u'157.75,157.75,157.75']",Dixieland,22,target
79328,DP,2,17108.200000047684,"[u'SY', u'MY', u'DP', u'A3']","[u'250,250,0', u'214.75,192.25,47', u'113.7254903,0,145.0980393', u'197,197,197']",Hindustani Sitar,23,target
79328,DO,1,17879.899999976158,"[u'SB', u'DO', u'LO', u'LR']","[u'59.8039215,123.5294118,250', u'137.5,80.5,0', u'250,171.5,114.75', u'250,119.5,143.25']",Dubstep,25,target
79328,MB,1,18686.600000023842,"[u'A2', u'MB', u'DC', u'MO']","[u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433', u'3.92156875,130.3921568,150', u'222.5,130.5,64.75']",Indie,27,target
