subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79469,0,0,3470,"New York,Boston,Chicago",XX,en-q1,8,assess
79469,0,0,1649,"doctor,dentist,psychiatrist",XX,en-q4,14,assess
79469,1,1,5729,"3,4,5",XX,en-q2,19,assess
79469,1,1,4160,"pebble,cat,frog",XX,en-q3,25,assess
79469,SB,0,25730,"[u'SB', u'DO', u'LR', u'LO']","[u'59.8039215,123.5294118,250', u'137.5,80.5,0', u'250,119.5,143.25', u'250,171.5,114.75']",Dubstep,1,target
79469,LH,3,20430.99999999997,"[u'DY', u'SB', u'A2', u'LH']","[u'137.5,137.5,0', u'59.8039215,123.5294118,250', u'157.75,157.75,157.75', u'197,250,127.5']",Alternative,2,target
79469,SO,0,18233,"[u'SO', u'SH', u'A1', u'MY']","[u'250,100,0', u'141.25,250,0', u'100,100,100', u'214.75,192.25,47']",Ska,3,target
79469,MY,1,19454,"[u'DB', u'MY', u'A2', u'DY']","[u'14.70588225,65.6862745,164.7058823', u'214.75,192.25,47', u'157.75,157.75,157.75', u'137.5,137.5,0']",Dixieland,4,target
79469,A2,2,18686,"[u'BK', u'MO', u'A2', u'MB']","[u'0,0,0', u'222.5,130.5,64.75', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Smooth Jazz,5,target
79469,SO,0,18553,"[u'SO', u'A3', u'LR', u'SH']","[u'250,100,0', u'197,197,197', u'250,119.5,143.25', u'141.25,250,0']",Heavy Metal,6,target
79469,MB,0,17811.99999999997,"[u'MB', u'DH', u'MY', u'SH']","[u'114.7058823,130.3921568,219.6078433', u'99,137.5,0', u'214.75,192.25,47', u'141.25,250,0']",Progressive House,7,target
79469,DC,1,16501,"[u'MB', u'DC', u'MO', u'A2']","[u'114.7058823,130.3921568,219.6078433', u'3.92156875,130.3921568,150', u'222.5,130.5,64.75', u'157.75,157.75,157.75']",Indie,9,target
79469,LR,0,18143,"[u'LR', u'MB', u'SH', u'DH']","[u'250,119.5,143.25', u'114.7058823,130.3921568,219.6078433', u'141.25,250,0', u'99,137.5,0']",Salsa,10,target
79469,A2,0,18271,"[u'A2', u'SR', u'SH', u'LG']","[u'157.75,157.75,157.75', u'250,0,44', u'141.25,250,0', u'106.862745,232.3529413,180.3921568']",Balkan Folk,11,target
79469,DY,0,16638.00000000006,"[u'DY', u'MY', u'SH', u'A1']","[u'137.5,137.5,0', u'214.75,192.25,47', u'141.25,250,0', u'100,100,100']",Big Band,12,target
79469,MO,3,17881,"[u'LC', u'DR', u'SR', u'MO']","[u'104.9019608,215.6862745,232.3529413', u'174.5,0,5.5', u'250,0,44', u'222.5,130.5,64.75']",Trance,13,target
79469,LO,3,18055.99999999994,"[u'DB', u'DY', u'A2', u'LO']","[u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0', u'157.75,157.75,157.75', u'250,171.5,114.75']",Jazz,15,target
79469,A2,0,21892,"[u'A2', u'SH', u'LO', u'DB']","[u'157.75,157.75,157.75', u'141.25,250,0', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823']",upper_left,16,catch
79469,DH,0,17155,"[u'DH', u'A2', u'LG', u'SY']","[u'99,137.5,0', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568', u'250,250,0']",Folk,17,target
79469,BK,0,16689.00000000006,"[u'BK', u'MO', u'MB', u'A2']","[u'0,0,0', u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75']",Piano,18,target
79469,LH,2,17281,"[u'A1', u'DY', u'LH', u'SP']","[u'100,100,100', u'137.5,137.5,0', u'197,250,127.5', u'200,0,250']",Bach,20,target
79469,SH,1,17052.00000000006,"[u'A2', u'SH', u'MB', u'DO']","[u'157.75,157.75,157.75', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'137.5,80.5,0']",Mozart,21,target
79469,MY,2,17922,"[u'SY', u'A3', u'MY', u'DP']","[u'250,250,0', u'197,197,197', u'214.75,192.25,47', u'113.7254903,0,145.0980393']",Hindustani Sitar,22,target
79469,SY,0,17993,"[u'SY', u'A1', u'MB', u'DY']","[u'250,250,0', u'100,100,100', u'114.7058823,130.3921568,219.6078433', u'137.5,137.5,0']",Electronic,23,target
79469,SP,3,16426.99999999994,"[u'LH', u'DG', u'MB', u'SP']","[u'197,250,127.5', u'0,117.6470588,88.235294', u'114.7058823,130.3921568,219.6078433', u'200,0,250']",Classic Rock,24,target
79469,A2,3,18182.99999999994,"[u'DB', u'SH', u'LO', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'141.25,250,0', u'250,171.5,114.75', u'157.75,157.75,157.75']",Stravinsky,26,target
79469,SH,1,19447,"[u'SR', u'SH', u'A3', u'DO']","[u'250,0,44', u'141.25,250,0', u'197,197,197', u'137.5,80.5,0']",upper_right,27,catch
