subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
78825,0,0,3104.5,"New York,Boston,Chicago",XX,en-q1,2,assess
78825,0,0,1954,"doctor,dentist,psychiatrist",XX,en-q4,12,assess
78825,1,1,2083.3999996185303,"pebble,cat,frog",XX,en-q3,23,assess
78825,1,1,7330.599999904633,"3,4,5",XX,en-q2,27,assess
78825,DB,0,23164.099999904633,"[u'DB', u'DY', u'MY', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0', u'214.75,192.25,47', u'157.75,157.75,157.75']",Dixieland,1,target
78825,LH,1,18818.099999904633,"[u'SP', u'LH', u'A1', u'DY']","[u'200,0,250', u'197,250,127.5', u'100,100,100', u'137.5,137.5,0']",Bach,3,target
78825,SY,1,18253.799999713898,"[u'DH', u'SY', u'A2', u'LG']","[u'99,137.5,0', u'250,250,0', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Folk,4,target
78825,DC,2,19092.599999904633,"[u'MB', u'A2', u'DC', u'MO']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'3.92156875,130.3921568,150', u'222.5,130.5,64.75']",Indie,5,target
78825,SH,0,23405.400000095367,"[u'SH', u'A2', u'LO', u'DB']","[u'141.25,250,0', u'157.75,157.75,157.75', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823']",upper_left,6,catch
78825,SB,0,19789.800000190735,"[u'SB', u'A2', u'DY', u'LH']","[u'59.8039215,123.5294118,250', u'157.75,157.75,157.75', u'137.5,137.5,0', u'197,250,127.5']",Alternative,7,target
78825,A2,1,20299.400000095367,"[u'MB', u'A2', u'MO', u'BK']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'222.5,130.5,64.75', u'0,0,0']",Piano,8,target
78825,DB,2,18890.5,"[u'LO', u'A2', u'DB', u'SH']","[u'250,171.5,114.75', u'157.75,157.75,157.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0']",Stravinsky,9,target
78825,MY,3,38957.5,"[u'DY', u'A1', u'SH', u'MY']","[u'137.5,137.5,0', u'100,100,100', u'141.25,250,0', u'214.75,192.25,47']",Big Band,10,target
78825,SR,0,18026.199999809265,"[u'SR', u'DR', u'LC', u'MO']","[u'250,0,44', u'174.5,0,5.5', u'104.9019608,215.6862745,232.3529413', u'222.5,130.5,64.75']",Trance,11,target
78825,SO,0,18011.900000095367,"[u'SO', u'A3', u'SH', u'LR']","[u'250,100,0', u'197,197,197', u'141.25,250,0', u'250,119.5,143.25']",Heavy Metal,13,target
78825,DP,0,18397.800000190735,"[u'DP', u'MY', u'A3', u'SY']","[u'113.7254903,0,145.0980393', u'214.75,192.25,47', u'197,197,197', u'250,250,0']",Hindustani Sitar,14,target
78825,SH,1,23941.599999904633,"[u'A3', u'SH', u'SR', u'DO']","[u'197,197,197', u'141.25,250,0', u'250,0,44', u'137.5,80.5,0']",upper_right,15,catch
78825,MB,0,17699.5,"[u'MB', u'A2', u'BK', u'MO']","[u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'0,0,0', u'222.5,130.5,64.75']",Smooth Jazz,16,target
78825,DY,2,34743.2999997139,"[u'LO', u'DB', u'DY', u'A2']","[u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0', u'157.75,157.75,157.75']",Jazz,17,target
78825,SH,0,17499,"[u'SH', u'MB', u'A2', u'DO']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'157.75,157.75,157.75', u'137.5,80.5,0']",Mozart,18,target
78825,SO,0,37690.2999997139,"[u'SO', u'SH', u'MY', u'A1']","[u'250,100,0', u'141.25,250,0', u'214.75,192.25,47', u'100,100,100']",Ska,19,target
78825,LG,0,17585.900000095367,"[u'LG', u'A2', u'SH', u'SR']","[u'106.862745,232.3529413,180.3921568', u'157.75,157.75,157.75', u'141.25,250,0', u'250,0,44']",Balkan Folk,20,target
78825,SP,2,17744.5,"[u'MB', u'DG', u'SP', u'LH']","[u'114.7058823,130.3921568,219.6078433', u'0,117.6470588,88.235294', u'200,0,250', u'197,250,127.5']",Classic Rock,21,target
78825,MB,3,17626,"[u'DY', u'A1', u'SY', u'MB']","[u'137.5,137.5,0', u'100,100,100', u'250,250,0', u'114.7058823,130.3921568,219.6078433']",Electronic,22,target
78825,SH,0,18566.199999809265,"[u'SH', u'MB', u'MY', u'DH']","[u'141.25,250,0', u'114.7058823,130.3921568,219.6078433', u'214.75,192.25,47', u'99,137.5,0']",Progressive House,24,target
78825,DO,0,18650,"[u'DO', u'LO', u'LR', u'SB']","[u'137.5,80.5,0', u'250,171.5,114.75', u'250,119.5,143.25', u'59.8039215,123.5294118,250']",Dubstep,25,target
78825,DH,0,19022.60000038147,"[u'DH', u'LR', u'SH', u'MB']","[u'99,137.5,0', u'250,119.5,143.25', u'141.25,250,0', u'114.7058823,130.3921568,219.6078433']",Salsa,26,target
