subj_code,choice_label,choice_key,rt,color,color_coord,music,trial_number,type
79900,0,0,2510.699999809265,"New York,Boston,Chicago",XX,en-q1,10,assess
79900,1,1,1755,"pebble,cat,frog",XX,en-q3,13,assess
79900,0,0,1674.1000001430511,"doctor,dentist,psychiatrist",XX,en-q4,19,assess
79900,1,1,6720.900000095367,"3,4,5",XX,en-q2,25,assess
79900,MO,3,17421.799999952316,"[u'A2', u'MB', u'DC', u'MO']","[u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433', u'3.92156875,130.3921568,150', u'222.5,130.5,64.75']",Indie,1,target
79900,MY,2,19380.199999809265,"[u'DY', u'A1', u'MY', u'SH']","[u'137.5,137.5,0', u'100,100,100', u'214.75,192.25,47', u'141.25,250,0']",Big Band,2,target
79900,A2,3,17393,"[u'MO', u'MB', u'BK', u'A2']","[u'222.5,130.5,64.75', u'114.7058823,130.3921568,219.6078433', u'0,0,0', u'157.75,157.75,157.75']",Piano,3,target
79900,MB,0,16886.799999952316,"[u'MB', u'MO', u'BK', u'A2']","[u'114.7058823,130.3921568,219.6078433', u'222.5,130.5,64.75', u'0,0,0', u'157.75,157.75,157.75']",Smooth Jazz,4,target
79900,DB,1,17199.700000047684,"[u'SH', u'DB', u'A2', u'LO']","[u'141.25,250,0', u'14.70588225,65.6862745,164.7058823', u'157.75,157.75,157.75', u'250,171.5,114.75']",Stravinsky,5,target
79900,SY,1,16747.900000095367,"[u'LG', u'SY', u'A2', u'DH']","[u'106.862745,232.3529413,180.3921568', u'250,250,0', u'157.75,157.75,157.75', u'99,137.5,0']",Folk,6,target
79900,LR,2,16498.700000047684,"[u'DH', u'MB', u'LR', u'SH']","[u'99,137.5,0', u'114.7058823,130.3921568,219.6078433', u'250,119.5,143.25', u'141.25,250,0']",Salsa,7,target
79900,DY,0,17146,"[u'DY', u'A1', u'LH', u'SP']","[u'137.5,137.5,0', u'100,100,100', u'197,250,127.5', u'200,0,250']",Bach,8,target
79900,DB,0,19909.89999985695,"[u'DB', u'LO', u'A2', u'DY']","[u'14.70588225,65.6862745,164.7058823', u'250,171.5,114.75', u'157.75,157.75,157.75', u'137.5,137.5,0']",Jazz,9,target
79900,SH,2,28391.799999952316,"[u'DH', u'MB', u'SH', u'MY']","[u'99,137.5,0', u'114.7058823,130.3921568,219.6078433', u'141.25,250,0', u'214.75,192.25,47']",Progressive House,11,target
79900,A2,0,20436.700000047684,"[u'A2', u'LO', u'DB', u'SH']","[u'157.75,157.75,157.75', u'250,171.5,114.75', u'14.70588225,65.6862745,164.7058823', u'141.25,250,0']",upper_left,12,catch
79900,DG,0,16973.799999952316,"[u'DG', u'MB', u'LH', u'SP']","[u'0,117.6470588,88.235294', u'114.7058823,130.3921568,219.6078433', u'197,250,127.5', u'200,0,250']",Classic Rock,14,target
79900,DO,1,18548.60000014305,"[u'A3', u'DO', u'SH', u'SR']","[u'197,197,197', u'137.5,80.5,0', u'141.25,250,0', u'250,0,44']",upper_right,15,catch
79900,DP,2,16720.89999985695,"[u'SY', u'A3', u'DP', u'MY']","[u'250,250,0', u'197,197,197', u'113.7254903,0,145.0980393', u'214.75,192.25,47']",Hindustani Sitar,16,target
79900,LR,3,16694.89999985695,"[u'SB', u'DO', u'LO', u'LR']","[u'59.8039215,123.5294118,250', u'137.5,80.5,0', u'250,171.5,114.75', u'250,119.5,143.25']",Dubstep,17,target
79900,SR,3,16563.799999952316,"[u'MO', u'LC', u'DR', u'SR']","[u'222.5,130.5,64.75', u'104.9019608,215.6862745,232.3529413', u'174.5,0,5.5', u'250,0,44']",Trance,18,target
79900,SO,1,16478.299999952316,"[u'SH', u'SO', u'LR', u'A3']","[u'141.25,250,0', u'250,100,0', u'250,119.5,143.25', u'197,197,197']",Heavy Metal,20,target
79900,MB,3,21149.5,"[u'DO', u'SH', u'A2', u'MB']","[u'137.5,80.5,0', u'141.25,250,0', u'157.75,157.75,157.75', u'114.7058823,130.3921568,219.6078433']",Mozart,21,target
79900,SO,0,17447.699999809265,"[u'SO', u'SH', u'MY', u'A1']","[u'250,100,0', u'141.25,250,0', u'214.75,192.25,47', u'100,100,100']",Ska,22,target
79900,SB,3,17844.599999904633,"[u'LH', u'A2', u'DY', u'SB']","[u'197,250,127.5', u'157.75,157.75,157.75', u'137.5,137.5,0', u'59.8039215,123.5294118,250']",Alternative,23,target
79900,SY,3,16334.799999952316,"[u'A1', u'DY', u'MB', u'SY']","[u'100,100,100', u'137.5,137.5,0', u'114.7058823,130.3921568,219.6078433', u'250,250,0']",Electronic,24,target
79900,SR,1,16602.099999904633,"[u'SH', u'SR', u'A2', u'LG']","[u'141.25,250,0', u'250,0,44', u'157.75,157.75,157.75', u'106.862745,232.3529413,180.3921568']",Balkan Folk,26,target
79900,DY,1,16386.39999985695,"[u'DB', u'DY', u'MY', u'A2']","[u'14.70588225,65.6862745,164.7058823', u'137.5,137.5,0', u'214.75,192.25,47', u'157.75,157.75,157.75']",Dixieland,27,target
